index,b2ret,b10ret,tmytm,DAX,HSI,NASDAQ,NIKKEI,SP,retmean11850.0,retmean18163.0,retmean22111.0,retmean47896.0,retmean55976.0,retmean59408.0,retmean66093.0,retstd11850.0,retstd18163.0,retstd22111.0,retstd47896.0,retstd55976.0,retstd59408.0,retstd66093.0
1992-12-01,0.01023,0.022404,2.9240956469943002,-0.004329722624552557,-0.051320001376794266,0.037105694544451895,-0.0429040384762196,0.010107801089602297,0.0012630106648430228,-0.00047019212930039925,0.00018908628474243662,0.001770917019298808,-0.00017337365583939985,0.0009700714144855738,0.0029793214158747683,0.008876623843554534,0.010890369838961566,0.012651165536691345,0.01255485382922028,0.01070034930643428,0.012644587374990341,0.00934430874255941
1993-01-01,0.010609,0.027836,2.8629808971362003,0.02314696395030258,0.04335679558812866,0.028643178964472993,0.005839308240201513,0.007045970943976521,8.228179067373275e-05,-0.0034049600013531744,-0.006735780613962561,0.0026867032516747712,0.001011293614283204,0.002329572511371225,-0.003007848362904042,0.013261063085846235,0.012143566497248596,0.01646914347293905,0.018319106274154357,0.01728306529902245,0.011961022408600515,0.012807359342149226
1993-02-01,0.009104000000000001,0.026678,2.7206668314686,0.06732991434406577,0.10442674826998655,-0.036720567538846005,-0.004137154028071355,0.010483613656046442,0.002780413340875193,0.0024018522204929276,-0.0012502998226983962,-3.0382070690393448e-06,1.3361158045498948e-05,-1.4406273533639155e-05,0.004183890408297118,0.011262889837911022,0.012238844842205514,0.025337842802960562,0.018324926105766363,0.015636996249855182,0.022206087055711282,0.009598324792771012
1993-03-01,0.003429,0.005287,2.8632056868119,-0.0018928667290524226,0.0058091939546598415,0.02886235222207323,0.09662397107356369,0.018697279985565585,0.0017193892221573901,-0.0017761577163701472,0.0004999056843149921,0.0003479096744938389,-0.0007565738936967176,0.0013095506608648145,0.0021136379800736904,0.009412477433284203,0.008703685378902572,0.027969296631076952,0.01638255331552466,0.021081585813279288,0.01307331071083944,0.009788126639472844
1993-04-01,0.006525,0.007802000000000001,2.852814981508,-0.02982396114955188,0.06911987979151357,-0.04160085780939826,0.12520432779584167,-0.025416786591980878,-2.9189190605566616e-05,-0.0003618047062662386,0.0015720385459384748,-0.0022861872400556293,-0.007767061170722757,-0.004367830586575326,4.965845229370254e-06,0.011288038133678648,0.013490861071679551,0.031571893662461735,0.024494162816082698,0.027270285685863434,0.020155203393085887,0.012355685180217306
1993-05-01,-0.004272000000000001,-0.000582,2.9544784743858,0.0002335861831155306,0.0793060537295951,0.0591303559009404,-0.017535582178651477,0.02271746291374188,0.00020332915592007338,6.598361069336534e-05,0.0015952825080603362,0.000475124700460583,0.0022573755122721195,-0.0019587587215937675,-0.0002881797438021749,0.007290160326279944,0.011789738883535133,0.018521072377371828,0.025626857910017148,0.020329820065069348,0.020481048847078118,0.008764216919088354
1993-06-01,0.008017,0.032076,2.8632056868119,0.04530459791107422,-0.037017443910908554,0.004882017900732505,-0.046824329091320394,0.0007552366778471598,0.0005070562051101165,0.0026261863637376914,-0.00312419635751708,0.0034481727264144206,-0.00250319303648377,0.0025001790014688263,0.0004893912595104088,0.012548378356363164,0.008889175319424389,0.018708611434677336,0.02086497472817351,0.018759608045654522,0.017556587846842935,0.009971735680938855
1993-07-01,0.001747,0.004442000000000001,2.8841112116871,0.0718077099718295,-0.015536743059174851,0.0010654165778820612,0.040333843797855984,-0.005327059241337917,-0.0003174507125679936,-0.0026756939589090293,-0.006005078410020187,0.0005017717124982959,-0.0015139088389419374,0.0008097662967407988,0.0025968647318049556,0.009618619327179194,0.014340952127623275,0.013654364085694306,0.011827761388161473,0.014498060889976462,0.014203385189296848,0.00796873484164079
1993-08-01,0.008658,0.025066,2.8625314600432,0.059685070909506255,0.08022606953784517,0.054122321555271746,0.03172009613280369,0.03443197286501687,0.0003632246040400456,-0.0002519918753850189,0.005477091763168573,-0.0006446089934219013,0.0007842033043165098,0.0014198969160629945,0.0053863348968496375,0.00831010603422395,0.01444989404853169,0.016293184578640874,0.010151310799923584,0.011205927422250416,0.009084052761452552,0.013117163798855361
1993-09-01,0.003775,0.00799,2.7817623552784,-0.011206713120880396,0.016755632674146037,0.02684292714447256,-0.043796429284810645,-0.009987919578910986,0.00013632960395798798,-0.0008038117528139125,-0.001521704008891469,0.005339655016238491,-0.0019916041222001824,9.260151446575211e-05,-0.002559720261377238,0.009769966432188235,0.011674221541884374,0.015269917066460874,0.015143853123350136,0.016748040169782978,0.01395476889066705,0.016437673165980878
1993-10-01,0.001636,0.004056000000000001,2.8324834379732002,0.081011187982716,0.215327896615513,0.021605181048270916,-0.020031125486242418,0.019392935741834316,-7.044720751721234e-05,0.006757667083071456,0.0032766517916960375,-0.0053278676322883085,0.0034490707108662242,-0.004645627513084383,0.002041963982351479,0.0065701516330269735,0.01654263941797948,0.010914250876338486,0.015605447632840486,0.01921783611290027,0.012789406126578206,0.02369831072810766
1993-11-01,0.000174,-0.017965,2.7507461103132003,-0.005840278412771793,-0.021856341983685468,-0.03191489361702127,-0.16730624875336053,-0.012910672680247037,-0.001381903099605725,0.0022771397184225776,0.001998610012898488,-0.0017977282515771332,0.004106438452644008,0.0009921378278661343,-0.001823144820740535,0.008914964065975717,0.01653009222330643,0.009467604696616724,0.018811545543954145,0.01771187968157498,0.011737294591652743,0.014231732238379476
